,0
0,-0.4206079783009917
1,-1.9389711786079364
2,-4.86834089534954
3,-8.055871828691979
4,-11.632001115918031
5,-15.118266068571335
6,-19.71611253353858
7,-25.42742361232561
8,-31.270791960359983
9,-38.46979794364339
10,-48.86162650478884
11,-61.433760318263424
12,-74.69745758182239
13,-87.70774446377291
14,-100.66747219044524
15,-111.8062748274242
16,-120.17278538433982
17,-127.21103179780523
18,-133.84422011582282
19,-141.13694385664886
20,-150.41766429168234
21,-161.7431453094202
22,-171.47951349854088
23,-177.33623271210726
24,-179.96773847411598
25,-181.5133371680647
26,-184.6222571532342
27,-187.88589461269737
28,-190.68090257097336
29,-192.62213345946188
30,-193.60557239650103
31,-190.94233484853055
32,-183.60730712245177
33,-171.8448528107121
34,-158.65480311860463
35,-148.15265910424358
36,-141.72677692939035
37,-141.44386628916385
38,-145.60353684427702
39,-151.46936228594066
40,-154.870110887676
41,-155.701543196058
42,-154.95968612016202
43,-154.19267268705468
44,-153.68363591824246
45,-153.50765701995016
46,-153.97777142693454
47,-154.95582304585193
48,-157.0262992755831
49,-160.57162289222757
50,-164.06517916933183
51,-167.3912521945984
52,-171.47878741281812
53,-176.30292411318945
54,-183.9229749233171
55,-194.23382466230169
56,-206.0156713750487
57,-216.58320312741463
58,-225.0323810644841
59,-231.1087476809625
60,-234.53017138150184
61,-236.67518046790627
62,-237.89252237317515
63,-237.581279266778
64,-236.55307990289472
65,-238.7409950299016
66,-244.54115555650085
67,-251.55267562493268
68,-256.91561340156574
69,-258.91607738264867
70,-256.43320167988264
71,-248.42998857495863
72,-235.12779173926137
73,-217.9741986697061
74,-199.1201937228791
75,-180.7050390947882
76,-163.85192610407336
77,-148.15541529262777
78,-133.02297848586537
79,-117.87235937417768
80,-101.81737747796927
81,-84.98864248897114
82,-67.57721330566109
83,-47.79500886656872
84,-26.07610515507036
85,-3.3585943143021098
86,17.95083412688507
87,37.64565891582442
88,55.48784127731201
89,73.22773666597628
90,91.93433441114335
91,113.48470934373564
92,138.65356716730943
93,166.77059789308151
94,196.2010076057177
95,227.4485651653308
96,260.0687009497372
97,292.21454958466734
98,322.4271871229532
99,349.7004251152763
100,376.2899035514735
101,405.8801377743535
102,439.9526518961792
103,477.7695448814664
104,516.2421478196143
105,554.1211294516502
106,591.2000556121164
107,627.9535077736227
108,665.1343032564797
109,703.2643071218916
110,742.0366434270516
111,781.6232377692808
112,822.4007999188001
113,865.5547366675951
114,912.5240979260208
115,963.202914401869
116,1017.0567459567231
117,1071.8052247319029
118,1125.8712236271492
119,1178.948434876121
120,1230.908301688025
121,1281.9011467641064
122,1330.5205930626264
123,1378.1433749295034
124,1425.5441796877783
125,1472.8316243154086
126,1519.5747025357164
127,1566.291134968094
128,1614.346265976819
129,1664.1998252855983
130,1714.7216289032997
131,1763.8408660629234
132,1811.4744578396453
133,1856.9974362596508
134,1899.6974634322053
135,1939.4363626084528
136,1977.3920211755567
137,2014.3170190326985
138,2050.616506893866
139,2086.959358681616
140,2123.8367683054403
141,2160.7571033884133
142,2198.2095695298976
143,2237.663896061857
144,2279.542064749718
145,2324.3370279948526
146,2372.394800451356
147,2423.8586508851613
148,2477.6722450841253
149,2531.536736806261
150,2584.654862805158
151,2637.7542681620093
152,2692.000623716893
153,2747.58386123025
154,2805.542274712914
155,2867.3128390232787
156,2933.831452337465
157,3005.306087902314
158,3080.126022456328
159,3156.75452923327
160,3233.2362072937303
161,3309.271778480445
162,3386.152483356601
163,3465.9839624651954
164,3549.569306032966
165,3634.946156131566
166,3720.02445360445
167,3804.413797650904
168,3888.336283153535
169,3972.697286680253
170,4058.2266962978974
171,4145.335589431973
172,4232.59648990482
173,4318.639603223692
174,4402.736131329879
175,4484.4490193275615
176,4564.38712402069
177,4644.10684124247
178,4724.574990306669
179,4804.241275944304
180,4882.61904319156
181,4962.787595690816
182,5049.373104952182
183,5141.118616959316
184,5234.854290090638
185,5329.8246257377
186,5427.548158176321
187,5528.376894531925
188,5632.436351763775
189,5739.75203974665
190,5851.520593495951
191,5968.1879943683625
192,6089.718630071176
193,6214.671340494452
194,6340.733114164304
195,6465.063931729417
196,6586.34866255623
197,6704.681114706504
198,6820.781057702854
199,6933.889058745807
200,7044.039646770208
201,7151.678064529631
202,7257.308195449007
203,7361.756904444332
204,7465.382072316659
205,7568.145479730177
206,7669.659306658684
207,7768.273092910426
208,7864.267660300517
209,7959.915761955946
210,8058.45099030586
211,8159.950740511517
212,8261.618213968004
213,8359.522538254996
214,8452.228364484385
215,8541.642755988412
216,8629.574412090928
217,8716.219258462928
218,8802.728185788199
219,8890.157516938982
220,8978.212530718425
221,9066.888855180568
222,9154.74739808806
223,9241.229744330098
224,9326.68526281614
225,9411.58722600158
226,9495.536622408064
227,9578.874705256036
228,9659.16790486536
229,9735.750607882266
230,9809.055044392207
231,9881.616244097262
232,9953.722221860968
233,10024.747431362695
234,10093.946440663767
235,10162.31271045923
236,10231.752926419327
237,10303.374630827948
238,10378.084914816412
239,10455.418796809334
240,10535.608007514258
241,10618.578603432665
242,10704.51209694129
243,10793.37524847625
244,10885.12923384544
245,10976.916681450612
246,11066.730498430275
247,11153.10608061194
248,11235.992651896528
249,11315.238380913876
250,11389.703518278087
251,11461.453501038994
252,11532.260859262691
253,11602.089330475905
254,11669.730054074344
255,11735.966030677895
256,11803.785738812949
257,11874.25265766678
258,11948.631657092244
